"bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","cndtn","extwall","roof","intwall","kitchens","fireplaces","landarea","latitude","longitude","nbhd","ward","quadrant"
2,0,"Forced Air","Y",6,3,1940,2011,1967,2,"2013-12-01",501700,1134,"2 Story","Above Average","Very Good","Common Brick","Slate","Hardwood",1,1,5473,40.7474109853703,-74.1235336996175,"D9","Ward 5","NE"
3,0,"Hot Water Rad","Y",6,4,1933,2012,1972,2.25,"2017-01-17",1276400,1819,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,7964,40.7842056060452,-74.2068542596382,"B2","Ward 4","NW"
2,0,"Warm Cool","Y",7,2,1956,1978,1970,1,"2015-05-04",348600,1428,"1 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",1,2,6750,40.6627415170199,-74.0948133118356,"D2","Ward 7","SE"
3,1,"Warm Cool","Y",9,4,1977,2005,1993,2,"2015-04-21",1302100,3286,"2 Story","Very Good","Good","Wood Siding","Shake","Hardwood",2,2,7848,40.7607824997753,-74.194548166799,"C3","Ward 3","NW"
2,1,"Hot Water Rad","N",8,4,1923,NA,1950,2,"1993-08-18",262400,2280,"2 Story","Good Quality","Average","Stucco","Slate","Hardwood",1,1,6250,40.7838521448285,-74.1739146347592,"F1","Ward 4","NW"
4,0,"Warm Cool","Y",9,5,1954,NA,1982,1.75,"2014-09-04",1680900,2853,"2 Story","Superior","Good","Brick/Stone","Slate","Carpet",1,3,12499,40.7442417647715,-74.2445586511787,"F2","Ward 3","NW"
2,1,"Hot Water Rad","Y",9,3,1905,NA,1967,2,"2009-10-20",270700,1626,"2 Story","Above Average","Good","Vinyl Siding","Comp Shingle","Hardwood/Carp",1,1,2591,40.6663783058328,-74.1304453740705,"A3","Ward 8","SE"
3,1,"Forced Air","Y",7,3,2000,NA,2008,2,"2012-10-05",1088700,1932,"2 Story","Excellent","Very Good","Wood Siding","Comp Shingle","Hardwood/Carp",1,1,5225,40.7260476006482,-74.2405975070318,"D4","Ward 3","NW"
3,0,"Forced Air","Y",5,4,1922,2018,1967,1.25,"2018-05-08",647700,1102,"1.5 Story Fin","Above Average","Good","Vinyl Siding","Built Up","Hardwood",2,1,5542,40.7330675111573,-74.1120276133671,"F8","Ward 5","NE"
2,0,"Hot Water Rad","Y",9,6,1912,1955,1974,3,"2004-02-28",1007200,2632,"3 Story","Superior","Average","Stucco","Comp Shingle","Hardwood",1,1,4982,40.7378750805128,-74.209037771268,"B4","Ward 3","NW"
1,1,"Forced Air","N",6,4,1972,NA,1974,2,"2018-06-28",218700,1360,"2 Story","Average","Fair","Wood Siding","Built Up","Wood Floor",1,0,4000,40.6954780701978,-74.0731879190756,"D7","Ward 7","SE"
2,2,"Forced Air","Y",8,4,2012,NA,2014,2,"2015-03-04",326600,1624,"2 Story","Above Average","Very Good","Brick/Siding","Comp Shingle","Hardwood/Carp",1,0,4000,40.6938537844313,-74.0668506063435,"D7","Ward 7","SE"
4,1,"Warm Cool","Y",10,4,1994,2008,2006,2,"1994-07-30",665600,3134,"2 Story","Good Quality","Very Good","Brick Veneer","Comp Shingle","Hardwood/Carp",1,3,8740,40.7473425014563,-74.2450635147972,"F2","Ward 3","NW"
1,0,"Hot Water Rad","N",7,3,1935,NA,1947,2,"2005-10-13",259400,1385,"2 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",1,0,4824,40.6872410523858,-74.0773063670523,"C4","Ward 7","SE"
3,1,"Forced Air","Y",7,3,1949,2014,1968,2,"1996-10-03",110000,1296,"2 Story","Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,7500,40.6974538690335,-74.0702086275859,"B9","Ward 7","NE"
3,0,"Forced Air","Y",7,4,1915,2002,1967,1.5,"2009-05-16",417300,1250,"1.5 Story Fin","Above Average","Good","Shingle","Comp Shingle","Carpet",1,1,4573,40.7365883218079,-74.1146532763147,"F8","Ward 5","NE"
2,1,"Forced Air","Y",7,3,1919,NA,1967,2,"2017-08-11",660900,1782,"2 Story","Above Average","Very Good","Vinyl Siding","Comp Shingle","Hardwood",1,1,3972,40.7764928169772,-74.1576377205702,"B3","Ward 4","NW"
5,1,"Warm Cool","Y",10,5,2001,NA,2008,2,"2001-09-20",903300,4044,"2 Story","Very Good","Average","Common Brick","Comp Shingle","Hardwood/Carp",1,1,24203,40.7506550417101,-74.238644689646,"F2","Ward 3","NW"
3,1,"Hot Water Rad","Y",10,4,1942,2005,1963,2,"2001-10-29",692400,3357,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,3,10861,40.7544109778399,-74.1972190174323,"C3","Ward 3","NW"
3,0,"Hot Water Rad","Y",6,5,1932,2017,1972,2,"2016-08-22",1130400,2101,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,1,8549,40.7805221676508,-74.2113691293554,"B2","Ward 4","NW"
3,1,"Warm Cool","Y",6,4,1938,2006,1969,2,"1996-09-03",275500,2167,"2 Story","Good Quality","Very Good","Brick/Siding","Slate","Hardwood",1,1,4386,40.7526358187537,-74.2303240448771,"A2","Ward 3","NW"
2,1,"Warm Cool","Y",7,3,1928,2002,1967,2,"1995-07-17",421100,2221,"2 Story","Excellent","Good","Stone/Stucco","Slate","Hardwood",1,1,14350,40.7678648051154,-74.2251483844554,"B2","Ward 3","NW"
4,1,"Warm Cool","Y",8,5,1994,NA,2003,2,"1994-10-03",681000,4036,"2 Story","Very Good","Good","Brick Veneer","Comp Shingle","Hardwood/Carp",1,4,8064,40.7537109212288,-74.2432101606172,"F2","Ward 3","NW"
2,2,"Warm Cool","Y",9,3,1939,2016,1969,2,"2018-06-08",1249500,1564,"2 Story","Good Quality","Good","Common Brick","Slate","Hardwood",1,2,5100,40.752413768706,-74.2334420515834,"A2","Ward 3","NW"
4,1,"Hot Water Rad","N",10,5,1942,1987,1963,2.5,"1998-12-24",376600,2540,"2.5 Story Fin","Very Good","Average","Brick/Stone","Slate","Carpet",1,1,5104,40.7804231549107,-74.2092800998339,"B2","Ward 4","NW"
3,1,"Hot Water Rad","Y",9,4,1937,2013,1972,2,"2011-01-14",1256000,2026,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,2,5397,40.7436315542225,-74.2030939301817,"B4","Ward 3","NW"
3,1,"Warm Cool","Y",7,5,1936,1964,1972,2.5,"2018-04-16",1193300,2261,"2.5 Story Fin","Very Good","Good","Common Brick","Slate","Hardwood",1,2,5875,40.7778419223117,-74.2029659144543,"B2","Ward 4","NW"
1,1,"Elec Base Brd","Y",6,3,1961,2003,1976,2,"2004-03-01",513100,1776,"Split Level","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,1,5000,40.7950802640783,-74.1763584249781,"F1","Ward 4","NW"
3,0,"Warm Cool","Y",6,3,1958,2018,1979,1,"2015-08-12",694800,1498,"1 Story","Good Quality","Average","Brick/Siding","Comp Shingle","Hardwood",1,1,5963,40.7728219547901,-74.1975104561308,"B2","Ward 4","NW"
3,0,"Warm Cool","Y",6,3,1941,NA,1957,2,"2013-12-20",436600,1344,"2 Story","Above Average","Good","Common Brick","Slate","Carpet",1,1,4643,40.7502949940226,-74.1230996315942,"D9","Ward 5","NE"
2,1,"Forced Air","Y",8,4,2000,NA,2006,2,"2016-05-22",372200,1916,"2 Story","Above Average","Average","Vinyl Siding","Comp Shingle","Carpet",1,0,3871,40.6950710028441,-74.0956447730294,"C4","Ward 7","SE"
2,1,"Warm Cool","Y",7,3,1970,NA,1983,1,"2014-02-19",282600,925,"Split Foyer","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,0,3135,40.6638549887461,-74.1145400913667,"E8","Ward 8","SE"
3,1,"Forced Air","Y",7,5,1927,2017,1964,1,"2017-06-05",820500,1589,"1 Story","Average","Very Good","Common Brick","Comp Shingle","Hardwood",1,1,7126,40.7708269362443,-74.1590343931117,"B3","Ward 4","NW"
4,1,"Warm Cool","Y",10,6,1915,1977,1978,2.5,"2011-07-02",1467600,2682,"2.5 Story Fin","Excellent","Good","Stucco","Comp Shingle","Hardwood",1,1,6131,40.7330197769248,-74.2142861439034,"E3","Ward 3","NW"
2,2,"Warm Cool","Y",9,3,1940,NA,1972,2,"1998-02-08",413500,1908,"2 Story","Very Good","Very Good","Common Brick","Slate","Hardwood",1,2,5850,40.7543993428979,-74.2341570628104,"A2","Ward 3","NW"
2,0,"Warm Cool","Y",6,3,1935,1979,1961,2,"2008-01-04",825000,1784,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood",1,1,4000,40.7546604191661,-74.233422212335,"A2","Ward 3","NW"
2,1,"Forced Air","Y",10,3,1952,1994,1975,2,"2015-08-21",753800,2246,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",1,2,5000,40.7954090683323,-74.1704191762623,"F1","Ward 4","NW"
5,1,"Warm Cool","Y",8,5,1993,2006,2003,2,"2018-04-27",1797200,4270,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood/Carp",1,3,9639,40.7492313412369,-74.2421370852373,"F2","Ward 3","NW"
1,2,"Hot Water Rad","Y",6,3,1956,2014,1976,1,"2014-05-23",370200,1271,"1 Story","Above Average","Good","Common Brick","Comp Shingle","Hardwood",1,1,5072,40.6838256824036,-74.0763863942462,"C4","Ward 7","SE"
3,0,"Warm Cool","Y",9,3,1950,NA,1953,1,"2009-12-11",730800,1371,"1 Story","Above Average","Average","Common Brick","Comp Shingle","Hardwood",2,2,6386,40.7297894033471,-74.2441256317519,"D4","Ward 3","NW"
2,2,"Warm Cool","Y",8,3,1940,NA,1957,2.25,"1994-06-19",220000,1704,"2.5 Story Unfin","Above Average","Average","Common Brick","Slate","Hardwood",1,2,6655,40.7738882214396,-74.171751197074,"A7","Ward 4","NW"
4,0,"Warm Cool","Y",9,4,1960,2002,1980,2,"2011-10-07",871600,1901,"2 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",2,2,5000,40.7163515721786,-74.2301414696738,"E6","Ward 3","NW"
4,1,"Forced Air","Y",8,4,1964,2004,1985,2,"2014-10-08",1283700,2531,"2 Story","Very Good","Good","Common Brick","Slate","Hardwood",1,4,6375,40.7505138262156,-74.2363591986363,"F2","Ward 3","NW"
1,0,"Hot Water Rad","Y",6,3,1927,2017,1967,2,"2017-05-07",769300,1520,"2 Story","Above Average","Very Good","Wood Siding","Comp Shingle","Hardwood",1,1,4400,40.7735297820121,-74.1635401839115,"A7","Ward 4","NW"
3,1,"Forced Air","Y",7,3,1940,2017,1967,2,"2017-08-29",744600,1656,"2 Story","Above Average","Good","Common Brick","Slate","Hardwood",1,1,4222,40.7951086673762,-74.1796012611626,"B5","Ward 4","NW"
2,0,"Hot Water Rad","N",6,3,1948,NA,1958,2,"2003-06-06",146100,1080,"2 Story","Average","Average","Common Brick","Built Up","Hardwood",1,0,10051,40.7023332323399,-74.0811099801459,"B9","Ward 7","NE"
2,1,"Warm Cool","Y",10,2,1933,NA,1975,2,"2016-05-15",984200,1710,"2 Story","Excellent","Average","Wood Siding","Comp Shingle","Hardwood",1,1,3137,40.7344894123492,-74.2239181500152,"F6","Ward 3","NW"
1,0,"Forced Air","Y",4,2,1936,2018,1967,1.5,"2018-04-02",347000,1234,"1.5 Story Fin","Above Average","Good","Brick/Siding","Comp Shingle","Hardwood/Carp",1,1,5130,40.6562579845213,-74.1425505872306,"B7","Ward 8","SE"
